ID_PER,P5_17_1,P5_17_2,P5_17_3,P5_17_4,P5_16_1,P5_16_3,P5_11_01,P5_26,P5_1,P5_2_1,P5_2_4,P6_1,P6_3,P6_4_1,P6_4_2,P6_13,P6_14_1,P6_14_2,P6_14_3,P6_15,P7_37,P7_38,P7_40_1,P7_40_2,P7_40_3,P7_40_4,P7_40_5,P7_40_6,P7_1,P7_2,P7_9,P7_35,P7_36,P8_9_12,P10_7,P10_5_1,P10_5_2,P10_5_3,P10_5_4,P10_1,P10_3,P10_6,P10_8
0678.6088,2,3,1,3,1,1,0,4,2,1,2,7,2,1,1,3,1,2,1,2,3,3,1,2,2,2,2,2,1,16,1,1,1,1,4,1,1,1,1,2,2,2,1
0678.6645,4,3,1,1,1,1,0,4,2,1,1,7,2,2,2,3,1,2,1,2,4,4,1,2,2,2,2,2,2,21,1,1,1,1,4,1,2,2,1,2,2,1,2
0679.1245,2,2,3,2,1,1,0,3,1,1,1,97,1,1,1,3,1,1,2,2,2,3,1,1,2,2,2,2,2,18,1,1,1,2,4,1,2,2,1,2,2,2,2
0683.3500,3,1,3,3,3,3,1,3,2,1,1,3,2,1,1,3,2,1,2,2,4,4,1,2,2,1,2,2,1,16,1,1,1,1,4,1,1,2,2,2,1,1,2
0691.4262,1,1,1,2,1,1,0,4,1,1,1,4,2,1,1,3,1,1,2,2,4,4,1,2,2,2,2,2,2,15,1,1,1,2,4,1,2,1,1,2,2,1,2
0708.1554,4,2,4,3,1,3,0,3,1,1,1,6,1,2,1,3,2,2,1,2,4,4,1,1,2,1,2,2,1,12,1,1,2,2,4,1,2,2,2,2,1,1,2
0710.3823,1,3,3,3,1,3,1,4,2,1,1,4,2,1,1,3,2,2,1,2,3,3,1,1,2,1,2,2,1,12,1,2,2,1,4,1,1,2,1,2,1,2,2
0716.0104,2,1,3,1,1,1,0,2,1,1,1,7,2,1,1,3,1,2,2,2,4,4,1,2,2,2,2,2,2,24,1,1,1,2,4,1,2,2,2,2,1,1,2
0717.4294,2,1,1,1,2,2,0,4,2,1,1,0,2,1,1,3,1,1,1,2,4,4,2,2,2,1,2,2,2,10,1,1,1,2,2,2,2,2,2,2,2,1,1
0718.5313,1,1,1,4,1,1,0,4,2,1,2,97,1,1,1,3,2,2,1,2,3,4,1,2,2,2,2,2,2,12,2,2,2,1,4,1,2,1,1,2,1,2,2
0739.7022,4,2,3,4,1,1,0,4,1,1,1,4,2,1,1,3,2,2,1,2,4,3,1,2,1,2,2,2,2,12,1,2,2,1,4,2,2,2,1,1,1,2,1
0739.7199,4,3,3,3,1,2,0,3,2,1,2,7,2,1,2,3,2,2,1,2,3,2,1,1,2,2,1,2,1,18,2,1,2,2,4,2,2,2,2,2,2,2,1
0745.6512,4,4,1,1,1,1,0,4,2,1,1,3,2,1,1,2,2,2,2,2,4,4,1,2,2,2,2,2,2,14,1,1,1,2,4,2,2,2,2,2,2,2,1
0751.5565,4,4,1,1,3,1,0,2,1,1,1,3,2,1,1,3,2,2,1,2,3,4,1,2,2,2,2,2,1,13,1,1,1,2,4,1,2,2,2,1,2,1,1
0758.2135,2,1,1,2,1,1,0,1,1,1,1,5,2,1,2,3,1,1,2,2,4,4,2,2,2,2,2,2,1,14,1,1,1,2,4,2,1,2,2,2,1,2,2
0761.2270,3,1,1,1,1,1,0,4,2,1,2,3,2,1,1,3,1,1,2,2,4,4,1,2,2,2,2,2,1,12,1,1,1,2,4,2,2,2,2,1,2,1,1
0762.0382,3,2,2,3,1,1,0,3,2,1,1,18,2,1,1,3,1,1,1,2,2,4,1,1,1,1,1,2,2,24,1,2,2,1,4,2,2,1,1,2,2,1,2
0762.9130,4,4,1,4,1,1,0,4,1,1,1,7,2,1,1,3,2,2,1,2,3,1,1,2,2,2,2,2,1,24,1,1,2,2,4,1,1,1,2,2,1,2,2
0767.4121,1,1,1,4,1,1,0,1,1,1,1,1,2,1,2,3,1,1,2,2,4,4,2,2,2,2,2,2,2,14,1,1,1,2,4,2,2,2,2,2,1,1,2
0774.6313,1,3,3,1,2,1,0,1,2,1,2,4,2,1,1,3,1,2,1,2,4,4,1,2,2,2,2,2,1,11,1,1,1,2,4,1,1,1,1,2,1,2,1
0777.8485,4,2,2,4,3,1,0,3,2,1,2,2,2,1,1,3,2,2,1,2,3,3,1,2,2,2,2,2,1,19,1,1,1,2,4,1,1,1,2,2,2,1,1
0783.2982,1,1,1,1,1,2,0,2,1,1,1,4,2,1,1,3,2,1,1,2,4,4,1,2,2,2,2,2,1,16,2,1,1,2,4,1,2,2,2,2,2,1,2
0787.8107,1,2,2,3,1,1,0,1,1,1,1,4,2,1,2,3,1,1,2,1,4,4,1,2,2,2,2,2,2,12,2,1,1,2,4,1,2,2,2,1,2,1,2
0789.7287,3,1,1,4,1,1,0,1,1,1,1,3,2,1,1,3,1,2,2,2,4,4,1,2,2,2,2,2,2,16,1,1,1,2,4,1,1,1,1,2,1,2,2
0797.2723,3,2,2,3,1,1,0,2,1,1,2,97,1,1,1,3,2,2,1,2,3,3,1,2,2,2,2,2,2,20,1,1,1,1,4,1,2,2,2,2,2,2,2
0797.5741,3,3,3,4,2,2,0,3,2,1,2,17,1,1,2,3,1,2,1,2,4,4,1,2,2,2,2,2,1,16,1,2,1,1,4,1,2,3,1,1,1,2,1
0808.1936,1,1,1,1,1,1,0,1,2,1,2,6,2,1,1,3,1,1,1,2,3,3,2,2,2,2,2,2,1,24,1,1,1,2,4,2,2,2,2,2,2,2,1
0820.8535,4,3,2,3,2,2,1,2,1,1,2,4,1,1,1,3,1,1,1,2,3,3,1,1,2,1,2,2,1,15,1,1,1,1,4,1,3,2,1,1,1,1,1
0823.1061,1,3,3,3,1,1,1,4,1,1,1,0,2,1,1,3,2,2,2,1,4,4,1,2,2,2,2,2,1,20,1,2,2,1,4,2,1,2,2,2,1,1,1
0828.4223,3,1,3,4,1,1,0,2,2,1,1,2,2,1,1,3,2,2,1,2,3,3,1,2,2,2,2,2,1,12,1,1,1,2,4,1,2,2,2,2,2,1,1
0831.9409,1,1,1,1,1,2,1,4,2,1,1,18,1,1,1,3,1,2,1,2,3,3,1,2,2,2,2,2,2,12,1,1,1,2,4,1,2,2,1,2,1,1,1
0836.6851,2,2,2,3,1,1,1,2,1,1,2,17,1,1,1,3,1,2,1,2,1,3,1,1,2,2,2,2,2,5,1,2,2,2,4,1,1,2,2,2,1,1,2
0840.8462,4,3,3,3,2,3,0,4,2,1,1,10,2,1,1,3,1,1,2,2,3,3,1,2,2,2,2,2,2,12,1,1,2,2,4,1,1,1,2,2,2,1,2
0849.6919,4,2,2,1,3,1,1,4,1,1,1,5,2,1,1,3,2,2,1,2,4,4,1,1,2,2,2,2,1,22,1,1,1,2,4,2,2,2,2,2,2,1,1
0851.3743,4,1,1,1,1,1,0,3,1,1,1,3,2,1,1,3,2,2,1,2,3,3,1,2,2,2,2,2,1,12,1,1,2,2,4,1,2,2,1,2,2,2,1
0854.7210,1,1,1,1,1,1,0,1,2,1,2,10,2,1,1,3,1,1,2,2,4,4,1,2,2,2,2,2,2,12,1,1,1,2,4,1,2,2,2,2,2,1,2
0854.9720,1,1,1,1,1,1,0,1,1,1,1,15,2,1,1,3,1,1,2,2,3,4,2,2,1,2,2,2,2,12,2,2,1,2,3,2,2,2,2,1,1,1,2
0868.4578,4,2,2,2,1,1,1,4,1,1,2,5,2,1,1,3,2,2,1,2,4,4,2,2,2,2,2,2,2,10,1,1,1,2,4,1,3,1,2,2,1,2,2
0869.7822,2,1,1,1,2,1,1,3,1,1,1,0,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,24,1,1,2,1,4,1,2,2,2,1,2,2,2
0879.1145,4,1,4,4,2,1,0,2,1,1,1,5,2,1,1,3,2,2,1,2,3,4,2,1,1,1,2,2,2,16,1,1,2,1,4,1,1,1,2,2,2,1,1
0881.6376,3,3,3,4,2,3,0,4,2,1,1,1,2,1,1,3,2,2,1,1,4,3,1,2,2,2,2,2,2,12,1,1,1,2,4,2,2,2,2,2,1,1,2
0884.7587,3,2,2,3,1,1,0,4,2,1,2,23,1,2,2,3,2,2,1,2,3,3,1,1,1,2,2,2,1,18,1,2,2,1,4,1,2,2,2,2,1,2,2
0886.9162,3,1,3,3,1,1,0,2,1,1,1,4,2,1,1,2,1,1,2,2,3,4,2,2,2,2,2,2,2,12,1,1,1,2,4,1,2,2,2,2,1,1,2
0893.9113,1,4,4,4,1,3,0,4,2,1,2,11,2,1,1,3,1,2,2,2,4,4,1,2,2,2,2,2,1,16,1,1,2,2,4,1,2,2,2,2,1,1,2
0898.2947,2,4,4,3,2,2,0,4,2,1,1,5,2,1,1,3,1,1,1,2,3,4,1,2,2,2,2,2,1,12,1,1,1,2,4,1,2,1,1,2,2,1,1
0907.9195,1,3,3,2,1,1,1,3,2,1,1,6,1,1,1,3,1,2,1,2,1,1,2,2,1,2,2,2,1,13,1,1,1,1,2,2,2,2,2,2,1,1,1
0908.6774,4,1,2,2,1,1,0,4,1,1,1,4,2,1,1,3,2,2,1,2,1,2,1,1,2,1,2,2,1,22,1,2,2,1,3,1,1,2,1,2,1,2,1
0910.6400,3,3,3,3,3,2,1,4,1,1,1,11,2,1,2,3,2,2,1,2,3,3,1,2,2,2,1,2,1,12,1,1,1,1,3,2,2,2,2,2,2,1,2
0910.7658,3,4,4,4,3,1,0,4,2,1,2,1,2,1,1,3,2,2,2,2,4,4,2,2,2,2,2,2,2,15,1,1,1,1,4,2,2,2,2,2,2,1,1
0915.2773,4,4,1,4,1,1,0,4,1,1,1,5,2,1,1,3,1,2,1,2,4,4,1,2,2,2,2,2,2,12,1,1,1,2,4,1,1,2,2,2,1,1,2
0920.3740,3,2,2,2,1,1,0,3,1,2,2,0,2,1,2,3,2,2,1,2,2,2,1,2,1,1,1,1,1,12,1,2,2,2,4,1,2,2,2,2,2,1,1
